Scraping time;Link;Price;Availability;Rozšířená záruka;Úhlopříčka;Typ rozlišení;Rozlišení;Typ panelu;Obnovovací frekvence;Odezva;Maximální jas;Barevná hloubka;Kontrast;Konstrukce;Typ připojení;Další připojení;Kabely v balení;Hlavní funkce;Další funkce;Barva;Šířka;Výška;Hloubka;Hmotnost;Spotřeba v SDR režimu;Energetická třída v SDR režimu;Typická spotřeba;Stand-by spotřeba (pohotovostní);Země;Povrch displeje;Poměr stran;HDMI;DisplayPort;USB-C;USB;Barevné pokrytí (sRGB);Maximální výkon Power Delivery;VESA uchycení;Synchronizace obrazu;Spotřeba v HDR režimu;Energetická třída v HDR režimu;Maximální spotřeba;Barevné pokrytí (Adobe RGB);VGA;Třída energetické účinnosti;Aplikace;Thunderbolt / USB 4;Provozní čas;Provozní teplota (min.);Provozní teplota (max.);Relativní vlhkost (min.);Relativní vlhkost (max.);mini DisplayPort;DVI;Maximální rozlišení;Obnovovací frekvence panelu;Technologie;Další vlastnosti obrazu;Podporované HDR standardy;Operační systém;Typ;Modelový rok;SMART funkce;Kompatibilita s hlasovým asistentem;Multimediální funkce;Herní funkce;Bezdrátové připojení;Vstupy a výstupy;Typ tuneru;Výška bez podstavce;Šířka podstavce / rozteč nožiček;Ovladač v balení;Hloubka bez podstavce;Úhlopříčka displeje;Platforma;Konektivita;Obnovovací frekvence displeje;Typ grafické karty;Konvertibilita;Optická mechanika;Výška maximální;Podsvícení
2023-11-17 16:29:35;https://www.alza.cz/25-benq-bl2581t-d5610570.htm#parametry;5 990;Skladem > 5 ks;Prodloužená záruka;"25"" (63,5 cm)";Full HD;1920 × 1200 px;IPS;60 Hz;5 ms;300 cd/m2;8 bit;1000:1;Rovná;DisplayPort, DisplayPort 1.2, DVI, HDMI 1.4, VGA;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);HDMI, USB;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;Automatická regulace jasu;Černá;54,9 cm;54,9 cm;23,1 cm;6,8 kg;16 kWh/1000h;D;16 W;0,5 W;;Matný;16:10;1 ×;1 ×;;;;;100×100;;;;55 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:37;https://www.alza.cz/27-samsung-s80ua-d6540747.htm#parametry;11 990;Skladem > 5 ks;;"27"" (68,58 cm)";4K;3840 × 2160 px;IPS;60 Hz;5 ms;300 cd/m2;;1000:1;Rovná;DisplayPort 1.2, HDMI 2.0, USB-C;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);;Nastavitelná výška, HDR, Pivot, Flicker-free, Filtr modrého světla;;Černá;61,6 cm;55,2 cm;19,7 cm;6,7 kg;;;30 W;0,3 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;1 ×;1 ×;1 ×;3 ×;99 %;90 W;100×100;FreeSync;;;30 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:38;https://www.alza.cz/27-msi-modern-md272qpw-d7592630.htm#parametry;6 989;Skladem > 5 ks;Prodloužená záruka;"27"" (68,58 cm)";Quad HD;2560 × 1440 px;IPS;75 Hz;4 ms;300 cd/m2;8 bit;1000:1;Rovná;DisplayPort, HDMI 1.4, USB-C;USB 2.0, Sluchátkový výstup, USB-B;;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;Power Delivery;Bílá;61,35 cm;40,15 cm;20,08 cm;5,85 kg;26 kWh/1000h;F;;0,5 W;;Antireflexní;16:9;1 ×;1 ×;1 ×;3 ×;95 %;65 W;75×75;;;;;80 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:40;https://www.alza.cz/32-aoc-q32p2-d6440183.htm#parametry;6 689;Skladem > 5 ks;Prodloužená záruka;"31,5"" (80,01 cm)";Quad HD;2560 × 1440 px;IPS;75 Hz;4 ms;250 cd/m2;10 bit;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4;Sluchátkový výstup;HDMI, DisplayPort;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;;Černá;73,02 cm;65,07 cm;2,75 cm;9,5 kg;32 kWh/1000h;F;35 W;0,5 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;2 ×;1 ×;;4 ×;102 %;;100×100;;;;35 W;75 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:41;https://www.alza.cz/38-eizo-flexscan-ev3895-bk-d6469257.htm#parametry;40 590;Skladem 5 ks;Prodloužená záruka;"37,52"" (95,3 cm)";Quad HD;3840 × 1600 px;IPS;60 Hz;5 ms;300 cd/m2;8 bit;1000:1;Prohnutá;DisplayPort 1.3, HDMI 1.4, USB-C;RJ-45 (LAN), USB 3.2 Gen 1 (USB 3.0);;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;Obraz v obraze (PiP), Automatická regulace jasu, Senzor přítomnosti;Černá;89,39 cm;41,1 cm;24 cm;13,2 kg;29 kWh/1000h;E;28 W;0,5 W;;Antireflexní;24:10;1 ×;1 ×;2 ×;4 ×;100 %;;100×100;;;;192 W;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:42;https://www.alza.cz/27-gigabyte-g27q-d6313975.htm#parametry;7 489;Skladem > 5 ks;Prodloužená záruka;"27,01"" (68,6 cm)";Quad HD;2560 × 1440 px;IPS;144 Hz;1 ms;350 cd/m2;8 bit;1000:1;Rovná;HDMI 2.0;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);;Reproduktory, Nastavitelná výška, Flicker-free, Filtr modrého světla;;Černá;62 cm;51,9 cm;20,3 cm;6,7 kg;28 kWh/1000h;G;;0,5 W;;Matný;16:9;2 ×;;;2 ×;120 %;;100×100;FreeSync;44 kWh/1000h;G;60 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:44;https://www.alza.cz/corsair-xeneon-27qhd240-d7781268.htm#parametry;26 590;Skladem 4 ks;;"27"" (68,58 cm)";Quad HD;2560 × 1440 px;OLED;240 Hz;0,03 ms;1 000 cd/m2;10 bit;1500000:1;Rovná;DisplayPort 1.4, HDMI 2.1, USB-C;USB 3.2 Gen 1 (USB 3.0);;Nastavitelná výška, HDR, Pivot, Flicker-free;;Černá;;;;;;;;;;Antireflexní;16:9;2 ×;1 ×;2 ×;4 ×;100 %;;100×100;G-Sync kompatibilní;;;;98,5 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:45;https://www.alza.cz/27-samsung-odyssey-g32a-d6985700.htm#parametry;5 490;Skladem > 5 ks;Bez rozšířené záruky;"27"" (68,58 cm)";Full HD;1920 × 1080 px;VA;165 Hz;1 ms;250 cd/m2;;3000:1;Rovná;DisplayPort 1.2, HDMI 1.4;Sluchátkový výstup;DisplayPort;Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;;Černá;61,9 cm;52,1 cm;23,4 cm;4,8 kg;19 kWh/1000h;E;19 W;0,3 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;1 ×;1 ×;;;;;100×100;FreeSync;;;35 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:46;https://www.alza.cz/23-eizo-flex-scan-ev2360-bk-d5881407.htm#parametry;7 749;Skladem 3 ks;Prodloužená záruka;"22,5"" (57,15 cm)";Full HD;1920 × 1200 px;IPS;60 Hz;5 ms;250 cd/m2;8 bit;1000:1;Rovná;DisplayPort 1.3, HDMI 1.4, VGA;USB 3.2 Gen 1 (USB 3.0);DisplayPort, USB;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;Automatická regulace jasu, Senzor přítomnosti;Černá;49,9 cm;47,4 cm;23,3 cm;5,5 kg;11 kWh/1000h;C;11 W;0,5 W;;Antireflexní;16:10;1 ×;1 ×;;3 ×;98 %;;100×100;;;;37 W;;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:47;https://www.alza.cz/27-acer-ek271hb-d7853967.htm#parametry;2 949;Skladem > 5 ks;Bez rozšířené záruky;"27"" (68,58 cm)";Full HD;1920 × 1080 px;VA;100 Hz;1 ms;250 cd/m2;8 bit;100000000:1;Rovná;HDMI 1.4, VGA;;;Filtr modrého světla;;Černá;61,34 cm;45,64 cm;20,49 cm;3,5 kg;;E;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;1 ×;;;;;;100×100;FreeSync;;E;;;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:48;https://www.alza.cz/23-8-hp-v24i-g5-d7592613.htm#parametry;2 990;Skladem > 5 ks u dodavatele;;"23,8"" (60,45 cm)";Full HD;1920 × 1080 px;IPS;75 Hz;5 ms;250 cd/m2;8 bit;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4, VGA;;HDMI;Flicker-free, Filtr modrého světla;;Černá;53,89 cm;39,79 cm;18,05 cm;3,78 kg;13 kWh/1000h;D;20 W;0,5 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;1 ×;1 ×;;;;;100×100;FreeSync;;;30 W;;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:50;https://www.alza.cz/27-philips-271v8la-d7389555.htm#parametry;3 279;Skladem > 5 ks;Prodloužená záruka;"27"" (68,58 cm)";Full HD;1920 × 1080 px;VA;75 Hz;4 ms;250 cd/m2;8 bit;3000:1;Rovná;HDMI 1.4, VGA;Sluchátkový výstup;HDMI;Reproduktory, Flicker-free, Filtr modrého světla;;Černá;61,3 cm;45,6 cm;23,1 cm;3,96 kg;23,3 kWh/1000h;E;23,3 W;0,3 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;1 ×;;;;;;100×100;G-Sync kompatibilní;;;;;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:51;https://www.alza.cz/23-6-aoc-m2470swh-d2899477.htm#parametry;2 290;Skladem 2 ks;;"23,6"" (59,94 cm)";Full HD;1920 × 1080 px;VA;60 Hz;5 ms;250 cd/m2;;;;HDMI 1.4, VGA;;VGA, HDMI;Reproduktory;;Černá;55,1 cm;40 cm;22,1 cm;;17 kWh/1000h;E;28 W;0,37 W;;;16:9;;;;;;;100×100;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;5 cm;;;;;;;;;
2023-11-17 16:29:52;https://www.alza.cz/24-5-lenovo-legion-y25-30-d7647406.htm#parametry;5 990;Skladem > 5 ks;Prodloužená záruka;"24,5"" (62,23 cm)";Full HD;1920 × 1080 px;IPS;280 Hz;0,5 ms;400 cd/m2;8 bit;1000:1;Rovná;DisplayPort 1.4, HDMI 2.0;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);DisplayPort, USB;Reproduktory, Nastavitelná výška, HDR, Filtr modrého světla;;Černá;55,73 cm;35,87 cm;25,73 cm;5,3 kg;19 kWh/1000h;E;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;2 ×;1 ×;;4 ×;99 %;;100×100;FreeSync;29 kWh/1000h;G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:53;https://www.alza.cz/24-hp-v24v-g5-d7592624.htm#parametry;2 590;Skladem > 5 ks;;"24"" (60,96 cm)";Full HD;1920 × 1080 px;VA;75 Hz;5 ms;250 cd/m2;8 bit;3000:1;Rovná;HDMI 1.4;;HDMI;Filtr modrého světla;;Černá;53,89 cm;39,78 cm;18,05 cm;3,36 kg;18 kWh/1000h;E;;;;Matný;16:9;1 ×;;;;;;100×100;FreeSync;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:54;https://www.alza.cz/27-iiyama-g-master-g2766hsu-b1-redeagle-d7122363.htm#parametry;5 139;Skladem > 5 ks u dodavatele;;"27"" (68,58 cm)";Full HD;1920 × 1080 px;VA;165 Hz;0,1 ms;250 cd/m2;8 bit;3000:1;Prohnutá;DisplayPort 1.2, HDMI 2.0;USB 2.0, Sluchátkový výstup;HDMI, USB;Reproduktory, Flicker-free, Filtr modrého světla;;Černá;61,05 cm;43,8 cm;24 cm;5 kg;26 kWh/1000h;E;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;2 ×;1 ×;;2 ×;;;100×100;FreeSync;26 kWh/1000h;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:56;https://www.alza.cz/24-benq-sw240-d5306443.htm#parametry;12 390;Skladem > 5 ks;Prodloužená záruka;"24"" (60,96 cm)";Full HD;1920 × 1200 px;IPS;60 Hz;5 ms;250 cd/m2;10 bit;1000:1;Rovná;DisplayPort, DVI, HDMI 1.4;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);DVI, DisplayPort, USB;Nastavitelná výška, Pivot;;Černá;53,32 cm;42,9 cm;23,07 cm;6,7 kg;18 kWh/1000h;E;19 W;0,5 W;;;;;;;;;;;;;;55 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:57;https://www.alza.cz/32-asus-proart-display-pa329cv-d6713521.htm#parametry;20 390;Skladem 4 ks;Prodloužená záruka;"32"" (81,28 cm)";4K;3840 × 2160 px;IPS;60 Hz;5 ms;350 cd/m2;10 bit;1000:1;Rovná;DisplayPort 1.2, HDMI 2.0, USB-C;Sluchátkový výstup, USB 3.2 Gen 2 (USB 3.1);HDMI, USB;Reproduktory, Nastavitelná výška, HDR, Pivot, Filtr modrého světla;Obraz v obraze (PiP), Power Delivery;Černá, Stříbrná;72,71 cm;42,81 cm;6,77 cm;12,6 kg;33 kWh/1000h;F;;;;Matný;16:9;2 ×;1 ×;1 ×;4 ×;100 %;90 W;100×100;FreeSync;80 kWh/1000h;G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:58;https://www.alza.cz/27-apple-studio-display-standard-glass-adapter-drzaku-vesa-d7059022.htm#parametry;42 990;Skladem 2 ks u dodavatele;;"27"" (68,58 cm)";5K;5120 × 2880 px;IPS;60 Hz;;600 cd/m2;;;Rovná;Thunderbolt, USB-C;;;Reproduktory, Pivot, Flicker-free, Filtr modrého světla;Webkamera;Stříbrná;62,3 cm;36,2 cm;3,1 cm;5,5 kg;21 kWh/1000h;E;;;;Lesklý;16:9;;;3 ×;;;;100×100;;;;;;;;;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:29:59;https://www.alza.cz/27-viewsonic-vx2718-pc-mhdj-gaming-d7577357.htm#parametry;5 189;Skladem > 5 ks;Bez rozšířené záruky;"27"" (68,58 cm)";Full HD;1920 × 1080 px;VA;165 Hz;1 ms;250 cd/m2;8 bit;4000:1;Prohnutá;DisplayPort 1.2, HDMI 1.4;Sluchátkový výstup;DisplayPort;Reproduktory, Nastavitelná výška, Flicker-free, Filtr modrého světla;Automatická regulace jasu;Černá;61,1 cm;56 cm;22,6 cm;4,3 kg;26 kWh/1000h;G;27 W;0,5 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;2 ×;1 ×;;;;;75×75;FreeSync;;;27 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:00;https://www.alza.cz/27-dell-p2722he-d6548535.htm#parametry;5 990;Skladem > 5 ks;;"27"" (68,58 cm)";Full HD;1920 × 1080 px;IPS;60 Hz;5 ms;300 cd/m2;;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4;RJ-45 (LAN);;Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;;Černá, Stříbrná;60,99 cm;53,42 cm;19,01 cm;7,14 kg;17 kWh/1000h;D;17,1 W;0,3 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;1 ×;2 ×;1 ×;4 ×;99 %;;100×100;;;;132 W;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:01;https://www.alza.cz/27-lenovo-qreator-27-d6298140.htm#parametry;12 990;Skladem 1 ks;Prodloužená záruka;"27"" (68,58 cm)";4K;3840 × 2160 px;IPS;60 Hz;4 ms;400 cd/m2;8 bit;1300:1;Rovná;DisplayPort 1.4, HDMI 2.0, USB-C;Sluchátkový výstup;HDMI, DisplayPort, USB-C;Reproduktory, HDR, Flicker-free, Filtr modrého světla;Power Delivery;Šedá;60,86 cm;47,64 cm;18,2 cm;6,2 kg;32 kWh/1000h;G;40 W;0,5 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;2 ×;1 ×;1 ×;3 ×;;;;FreeSync;62 kWh/1000h;;180 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:03;https://www.alza.cz/23-8-aoc-24b2xhm2-d6798621.htm#parametry;2 357;Skladem > 5 ks;;"23,8"" (60,45 cm)";Full HD;1920 × 1080 px;VA;75 Hz;4 ms;250 cd/m2;8 bit;3000:1;Rovná;HDMI 1.4, VGA;Sluchátkový výstup;HDMI;Flicker-free, Filtr modrého světla;;Černá;53,95 cm;41,84 cm;17,09 cm;2,7 kg;18 kWh/1000h;E;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;1 ×;;;;101 %;;100×100;;;;;77 %;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:04;https://www.alza.cz/27-aoc-q27p2ca-d6979457.htm#parametry;5 989;Skladem > 5 ks;Prodloužená záruka;"27"" (68,58 cm)";Quad HD;2560 × 1440 px;IPS;75 Hz;4 ms;300 cd/m2;8 bit;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4, USB-C;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);HDMI, DisplayPort, USB-C;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;;Černá;61,36 cm;54,45 cm;20,01 cm;6,3 kg;30 kWh/1000h;G;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;2 ×;1 ×;1 ×;;;65 W;100×100;G-Sync kompatibilní;31 kWh/1000h;G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:05;https://www.alza.cz/27-aoc-27g2spae-bk-d7639228.htm#parametry;4 439;Skladem > 5 ks;Prodloužená záruka;"27"" (68,58 cm)";Full HD;1920 × 1080 px;IPS;165 Hz;1 ms;250 cd/m2;8 bit;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4, VGA;Sluchátkový výstup;HDMI, DisplayPort;Reproduktory, Flicker-free, Filtr modrého světla;;Černá;61,25 cm;46,46 cm;22,74 cm;4,53 kg;26 kWh/1000h;F;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;2 ×;1 ×;;;;;100×100;;26 kWh/1000h;F;;;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:07;https://www.alza.cz/34-benq-mobiuz-ex3410r-d7015161.htm#parametry;12 990;Skladem > 5 ks;;"34"" (86,36 cm)";Ultra Wide QHD;3440 × 1440 px;VA;144 Hz;1 ms;400 cd/m2;8 bit;3000:1;Prohnutá;DisplayPort 1.2, HDMI 2.0;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);HDMI, DisplayPort, USB;Reproduktory, Nastavitelná výška, HDR, Flicker-free, Filtr modrého světla;Obraz v obraze (PiP);Černá, Šedá;79,57 cm;43,08 cm;26,97 cm;9,85 kg;39 kWh/1000h;G;;;;Matný;21:9;2 ×;1 ×;;2 ×;90 %;;100×100;FreeSync;57 kWh/1000h;G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:08;https://www.alza.cz/34-asus-rog-strix-xg349c-d6566789.htm#parametry;23 990;Skladem > 5 ks;Prodloužená záruka;"34"" (86,36 cm)";Ultra Wide QHD;3440 × 1440 px;IPS;180 Hz;1 ms;400 cd/m2;10 bit;1000:1;Prohnutá;DisplayPort 1.4, HDMI 2.0, USB-C;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);HDMI, DisplayPort, USB-C, USB;Reproduktory, Nastavitelná výška, HDR, Flicker-free, Filtr modrého světla;Power Delivery;Černá;81,5 cm;36,6 cm;14,2 cm;9,2 kg;34 kWh/1000h;G;;;;Matný;21:9;1 ×;1 ×;;3 ×;;18 W;100×100;G-Sync kompatibilní;35 kWh/1000h;G;;98 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:10;https://www.alza.cz/27-philips-27b1u5601h-d7614132.htm#parametry;10 790;Skladem 3 ks;;"27"" (68,58 cm)";Quad HD;2560 × 1440 px;IPS;75 Hz;4 ms;350 cd/m2;8 bit;1000:1;Rovná;DisplayPort 1.4, HDMI 1.4, USB-C;RJ-45 (LAN), Sluchátkový výstup, USB 3.2 Gen 2 (USB 3.1);HDMI, DisplayPort, USB-C;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;Webkamera, Power Delivery;Černá;61,3 cm;53,7 cm;22,5 cm;7,3 kg;21,5 kWh/1000h;F;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;1 ×;1 ×;1 ×;4 ×;101 %;100 W;100×100;;;;;89 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:11;https://www.alza.cz/27-philips-273b9-usb-c-d6218418.htm#parametry;5 589;Skladem > 5 ks;Prodloužená záruka;"27"" (68,58 cm)";Full HD;1920 × 1080 px;IPS;75 Hz;4 ms;250 cd/m2;8 bit;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4, USB-C, VGA;Sluchátkový výstup, USB 3.2 Gen 2 (USB 3.1);HDMI, DisplayPort, USB-C;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;Senzor přítomnosti;Černá;61,4 cm;55,8 cm;22,4 cm;7,03 kg;21 kWh/1000h;E;16,5 W;0,5 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;1 ×;1 ×;1 ×;4 ×;98 %;;100×100;;;;17 W;;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:12;https://www.alza.cz/24-samsung-t37f-d6435899.htm#parametry;3 790;Skladem > 5 ks;;"24"" (60,96 cm)";Full HD;1920 × 1080 px;IPS;;;;;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4;;;Flicker-free, Filtr modrého světla;;Černá;54 cm;42,6 cm;23,2 cm;2,9 kg;18 kWh/1000h;E;18 W;0,3 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;1 ×;1 ×;;1 ×;;;100×100;FreeSync;;;18 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:14;https://www.alza.cz/23-8-dell-ultrasharp-u2422h-d6436256.htm#parametry;7 789;Skladem > 5 ks;;"23,8"" (60,45 cm)";Full HD;1920 × 1080 px;IPS;60 Hz;8 ms;250 cd/m2;;1000:1;Rovná;DisplayPort 1.4, HDMI 1.4;Sluchátkový výstup;;Nastavitelná výška, Pivot;;Černá, Stříbrná;53,76 cm;36,4 cm;17,96 cm;5,57 kg;12 kWh/1000h;C;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;1 ×;1 ×;2 ×;3 ×;100 %;;100×100;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:15;https://www.alza.cz/27-iiyama-prolite-xu2792uhsu-b1-d6253809.htm#parametry;8 769;Skladem > 5 ks u dodavatele;Prodloužená záruka;"26,93"" (68,4 cm)";4K;3840 × 2160 px;IPS;60 Hz;4 ms;300 cd/m2;10 bit;1000:1;Rovná;DisplayPort 1.4, DVI, HDMI 2.0;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);HDMI, DisplayPort, USB;Reproduktory, Flicker-free, Filtr modrého světla;Obraz v obraze (PiP);Černá;61,3 cm;44 cm;19,7 cm;4,6 kg;32 kWh/1000h;G;34 W;0,5 W;;Matný;16:9;1 ×;1 ×;;2 ×;100 %;;100×100;;;;;;;;;;;;;;;;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:30:17;https://www.alza.cz/32-samsung-smart-monitor-m50c-bila-d7855222.htm#parametry;6 490;Skladem > 5 ks;Bez rozšířené záruky;"32"" (81,28 cm)";Full HD;1920 × 1080 px;VA;60 Hz;4 ms;250 cd/m2;;3000:1;Rovná;HDMI 1.4;USB 2.0, WiFi;HDMI;Reproduktory, HDR, Flicker-free, Filtr modrého světla;Automatická regulace jasu, SMART;Bílá;71,6 cm;51,7 cm;19,4 cm;6,2 kg;26 kWh/1000h;;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;2 ×;;;2 ×;;;100×100;FreeSync;26 kWh/1000h;E;;;;;O2 TV, YouTube, NETFLIX, Voyo, Disney+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
