Scraping time;Link;Price;Availability;Rozšířená záruka;Úhlopříčka;Typ rozlišení;Rozlišení;Typ panelu;Obnovovací frekvence;Odezva;Maximální jas;Barevná hloubka;Kontrast;Konstrukce;Typ připojení;Další připojení;Kabely v balení;Hlavní funkce;Další funkce;Barva;Šířka;Výška;Hloubka;Hmotnost;Spotřeba v SDR režimu;Energetická třída v SDR režimu;Typická spotřeba;Stand-by spotřeba (pohotovostní);Země;Povrch displeje;Poměr stran;HDMI;DisplayPort;USB-C;USB;Barevné pokrytí (sRGB);Maximální výkon Power Delivery;VESA uchycení;Synchronizace obrazu;Spotřeba v HDR režimu;Energetická třída v HDR režimu;Maximální spotřeba;Barevné pokrytí (Adobe RGB);VGA;Třída energetické účinnosti;Aplikace;Thunderbolt / USB 4;Provozní čas;Provozní teplota (min.);Provozní teplota (max.);Relativní vlhkost (min.);Relativní vlhkost (max.);mini DisplayPort;DVI;Maximální rozlišení;Obnovovací frekvence panelu;Technologie;Další vlastnosti obrazu;Podporované HDR standardy;Operační systém;Typ;Modelový rok;SMART funkce;Kompatibilita s hlasovým asistentem;Multimediální funkce;Herní funkce;Bezdrátové připojení;Vstupy a výstupy;Typ tuneru;Výška bez podstavce;Šířka podstavce / rozteč nožiček;Ovladač v balení;Hloubka bez podstavce;Úhlopříčka displeje;Platforma;Konektivita;Obnovovací frekvence displeje;Typ grafické karty;Konvertibilita;Optická mechanika;Výška maximální;Podsvícení
2023-11-17 16:21:44;https://www.alza.cz/27-aoc-c27g2zu-bk-gaming-d5871872.htm#parametry;5 779;Skladem > 5 ks;Prodloužená záruka;"27"" (68,58 cm)";Full HD;1920 × 1080 px;VA;240 Hz;0,5 ms;300 cd/m2;8 bit;3000:1;Prohnutá;DisplayPort 1.2, HDMI 2.0;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);;Reproduktory, Nastavitelná výška, Flicker-free, Filtr modrého světla;;Černá, Červená;61,24 cm;52,86 cm;22,74 cm;5,5 kg;24 kWh/1000h;F;31 W;0,3 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;2 ×;1 ×;;4 ×;120 %;;100×100;FreeSync;;;31 W;89 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:45;https://www.alza.cz/27-aoc-u27v4ea-d6424424.htm#parametry;5 751;Skladem > 5 ks;Prodloužená záruka;"27"" (68,58 cm)";4K;3840 × 2160 px;IPS;60 Hz;4 ms;350 cd/m2;10 bit;1000:1;Rovná;DisplayPort 1.2, HDMI 2.0;Sluchátkový výstup;;Reproduktory, Flicker-free, Filtr modrého světla;;Černá;61,37 cm;46,2 cm;18,72 cm;5,13 kg;26 kWh/1000h;F;33 W;0,5 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;2 ×;1 ×;;;112 %;;100×100;G-Sync kompatibilní;;;33 W;83 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:47;https://www.alza.cz/27-asus-proart-pa279cv-d6299697.htm#parametry;11 990;Skladem > 5 ks;Prodloužená záruka;"27"" (68,58 cm)";4K;3840 × 2160 px;IPS;60 Hz;5 ms;360 cd/m2;10 bit;1200:1;Rovná;DisplayPort 1.2, HDMI 2.0, USB-C;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);;Reproduktory, Nastavitelná výška, HDR, Flicker-free, Filtr modrého světla;Obraz v obraze (PiP), Power Delivery;Černá;61,4 cm;52,4 cm;22,8 cm;8,6 kg;32 kWh/1000h;G;;0,5 W;;Matný;16:9;2 ×;1 ×;1 ×;5 ×;100 %;65 W;100×100;FreeSync;54 kWh/1000h;G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:48;https://www.alza.cz/27-samsung-odyssey-g65b-d7522512.htm#parametry;8 990;Skladem;Bez rozšířené záruky;"27"" (68,58 cm)";Quad HD;2560 × 1440 px;VA;240 Hz;1 ms;350 cd/m2;;2500:1;Prohnutá;DisplayPort 1.4, HDMI 2.1;RJ-45 (LAN), Sluchátkový výstup, WiFi, USB 3.2 Gen 1 (USB 3.0);DisplayPort;Nastavitelná výška, HDR, Pivot, Flicker-free, Filtr modrého světla;Automatická regulace jasu, SMART;Černá;61,6 cm;57,9 cm;31,1 cm;6,4 kg;26 kWh/1000h;F;26 W;0,5 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;2 ×;1 ×;;2 ×;;;100×100;FreeSync;61 kWh/1000h;G;;;;F;O2 TV, YouTube, NETFLIX, Voyo, Disney+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:50;https://www.alza.cz/39-7-lg-ultrawide-40wp95cp-w-d7742660.htm#parametry;36 890;Skladem > 5 ks;;"39,7"" (100,84 cm)";5K;5120 × 2160 px;IPS;72 Hz;5 ms;300 cd/m2;;;;DisplayPort, HDMI 1.4, Thunderbolt;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);;Reproduktory, Nastavitelná výška;;Bílá;94,72 cm;61,47 cm;28,3 cm;12,3 kg;40 kWh/1000h;F;;;;;;2 ×;1 ×;;2 ×;;;100×100;;72 kWh/1000h;G;;;;;;2 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:51;https://www.alza.cz/25-zowie-by-benq-xl2546k-d6253202.htm#parametry;10 690;Skladem;Prodloužená záruka;"24,5"" (62,23 cm)";Full HD;1920 × 1080 px;TN;240 Hz;0,5 ms;320 cd/m2;;1000:1;Rovná;DisplayPort 1.4, HDMI 2.0;Sluchátkový výstup;DisplayPort;Nastavitelná výška;;Černá;57,1 cm;44,3 cm;20 cm;6,2 kg;22 kWh/1000h;F;40 W;;;Matný;16:9;3 ×;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:52;https://www.alza.cz/23-8-dell-s2422hz-d6845663.htm#parametry;4 490;Skladem;;"23,8"" (60,45 cm)";Full HD;1920 × 1080 px;IPS;75 Hz;4 ms;250 cd/m2;;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4, USB-C;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;Webkamera;Černá, Stříbrná;53,78 cm;48,84 cm;17,47 cm;3,88 kg;14 kWh/1000h;D;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;1 ×;1 ×;1 ×;2 ×;;65 W;100×100;FreeSync;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:53;https://www.alza.cz/31-5-dell-se3223q-d7225326.htm#parametry;6 999;Skladem > 5 ks;;"31,5"" (80,01 cm)";4K;3840 × 2160 px;VA;60 Hz;4 ms;300 cd/m2;;3000:1;Rovná;DisplayPort 1.2, HDMI 2.0;Sluchátkový výstup;HDMI;Filtr modrého světla;;Černá;71,34 cm;51,13 cm;21,79 cm;7,51 kg;32 kWh/1000h;F;;;;Matný;16:9;2 ×;1 ×;;;99 %;;100×100;FreeSync;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:54;https://www.alza.cz/23-8-hp-m24-d7001508.htm#parametry;4 490;Skladem > 5 ks;;"23,8"" (60,45 cm)";Full HD;1920 × 1080 px;IPS;75 Hz;;300 cd/m2;;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4, USB-C;;HDMI, USB;Reproduktory, Nastavitelná výška, Filtr modrého světla;Webkamera, Power Delivery;Černá, Stříbrná;53,95 cm;52,34 cm;21,14 cm;6,3 kg;16 kWh/1000h;E;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;1 ×;1 ×;1 ×;2 ×;99 %;65 W;100×100;FreeSync;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:55;https://www.alza.cz/24-hp-z24u-g3-wuxga-d6638440.htm#parametry;7 189;Skladem 1 ks;;"24"" (60,96 cm)";Full HD;1920 × 1200 px;IPS;75 Hz;5 ms;350 cd/m2;;1000:1;Rovná;DisplayPort 1.4, HDMI 2.0;;DisplayPort, USB-C;Nastavitelná výška, Flicker-free, Filtr modrého světla;;Černá;53,17 cm;52,14 cm;19,5 cm;5,3 kg;19 kWh/1000h;E;;;;Matný, Antireflexní;16:10;1 ×;2 ×;1 ×;;99 %;100 W;100×100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:57;https://www.alza.cz/31-5-dell-p3223qe-professional-d7347276.htm#parametry;13 490;Skladem > 5 ks;;"31,5"" (80,01 cm)";4K;3840 × 2160 px;IPS;60 Hz;8 ms;350 cd/m2;10 bit;1000:1;Rovná;DisplayPort 1.4, HDMI 2.0, USB-C;RJ-45 (LAN);DisplayPort, USB-C, USB;Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;Power Delivery;Černá;71,12 cm;61,98 cm;23,37 cm;5,28 kg;31 kWh/1000h;F;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;1 ×;1 ×;1 ×;4 ×;99 %;;100×100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:58;https://www.alza.cz/31-5-dell-gaming-s3222dgm-curved-d6733173.htm#parametry;7 290;Skladem;;"32"" (81,28 cm)";Quad HD;2560 × 1440 px;VA;165 Hz;2 ms;350 cd/m2;8 bit;3000:1;Prohnutá;DisplayPort 1.2, HDMI 2.0;Sluchátkový výstup;HDMI, DisplayPort;Nastavitelná výška, Flicker-free, Filtr modrého světla;;Černá;70,88 cm;55,6 cm;23,76 cm;8 kg;26 kWh/1000h;E;26 W;0,3 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;2 ×;1 ×;;;99 %;;100×100;FreeSync;;;50 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:59;https://www.alza.cz/27-msi-modern-md271cp-d7105768.htm#parametry;3 690;Skladem;Prodloužená záruka;"27"" (68,58 cm)";Full HD;1920 × 1080 px;VA;75 Hz;4 ms;250 cd/m2;8 bit;3000:1;Prohnutá;HDMI 1.4, USB-C;Sluchátkový výstup;;Reproduktory, Nastavitelná výška, Flicker-free, Filtr modrého světla;Power Delivery;Černá;61,15 cm;53,37 cm;25 cm;6,13 kg;22 kWh/1000h;E;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;1 ×;;1 ×;;95 %;;75×75;;;;;82 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
